site,square,h,d,r,d2,h2,r2,zmean,elevation,zrel,light,lpa,light_sd
1c,3,0.8146740198135376,2.0438064586602502,1.2271817558208775,2.2448993269405717,0.931749701499939,1.5222695975886689,-1.55763174431324,1.5767881737470626,0.1640262560039758,0.8302831471251568,0.4347802893016866,0.12054229627060187
1c,4,0.9410403966903688,2.1266949640710653,1.385782539597063,2.254835748426333,1.025320291519165,1.6051961523886311,-1.5314374365717172,1.6029824814885856,0.16579330073520548,0.7960769449148566,0.3012435423699976,0.13689660480541938
1c,5,1.2762796878814695,1.9366307581794864,2.1830711450442637,2.03538316095294,1.427643656730652,1.8140693658837044,-2.5843658890724184,0.5500540289878844,-0.2159807724103331,0.7601737648154862,0.23348404490002195,0.12009140950978302
1c,6,0.49397730827331543,2.2544228393414607,1.1949078773413446,2.0656122710561577,1.6654051542282104,1.1969293414805342,-1.7261486533612014,1.4082712646991014,0.01497800217270817,0.818242671673761,0.43887020594793835,0.11812154472807523
1c,7,0.7994847297668457,1.991067971747931,1.1992309790601354,2.1516487208299435,1.0430225133895874,1.339126582456851,-1.630731699052453,1.5036882190078498,0.04723891135752201,0.8524117267799044,0.4953255171935378,0.11455676800346212
1c,8,0.8055160045623779,2.1230499300159327,1.439142940584422,2.179629437060135,0.9005314111709595,1.3382499437803437,-1.5433481616348028,1.5910717564255,-0.02381295697763552,0.7835028083591012,0.3404684719497843,0.1390788667919756
1c,9,1.225472927093506,1.969633269203364,1.571169802958052,2.0782999963617454,1.572939157485962,1.7473893482896747,-2.0790748005986215,1.0553451174616812,0.01449582720771447,0.8072923823346646,0.36165111708219583,0.11460931347862566
1c,10,1.2631460428237915,1.9890839960564477,1.3851451815623108,2.1177570097117586,1.6281452178955078,1.496907380040189,-1.7187531933575868,1.415666724702716,0.07386134417876611,0.8299907534174399,0.42622991270244576,0.1086116649610644
1c,11,0.5997852087020874,2.329807675600356,1.5047252376083535,2.2939232211246368,0.6329847574234009,1.259518784443614,-1.5535010630905628,1.58091885496974,-0.07927639875486503,0.7575671334165507,0.28848911712925984,0.15932990293301422
1c,12,0.988848090171814,2.104227087846177,2.1384432514978404,2.093797672155483,1.3489713668823242,1.6690994384234654,-2.228441769772768,0.9059781482875348,-0.46120330084413297,0.7102991798365346,0.2451619828165266,0.12649969152519125
1c,13,0.24813878536224365,2.409649943382555,1.0644339754001024,2.2259817913382225,0.8871572017669678,1.2983555377828906,-1.3556207027494906,1.778799215310812,0.08767365280687822,0.8519207735029294,0.5407990005175035,0.09298516814569319
1c,14,0.2118450403213501,2.323974768047602,1.0211459728793155,2.0030332323990323,1.344502329826355,1.1046541390240092,-1.2775624676316977,1.856857450428605,0.0734233162969351,0.9028091034368704,0.6838744298176201,0.08611216146255245
1c,15,0.6639643907546997,2.2810608656035662,1.3759278155648065,2.242762007798351,0.7586886882781982,1.22020970137088,-1.5581483065396546,1.576271611520648,-0.07649271000623692,0.7706567294118951,0.33441433219338257,0.13670936924326257
1c,16,1.4160282611846924,2.0675077547331138,2.430842323511584,2.161163694689929,1.5380473136901855,1.9211368834428544,-2.239370169258118,0.8950497488021849,-0.42956311074420817,0.6798658023930855,0.11094633720773238,0.1434106676824311
